"PM_Mean_Concentration_24h","PM_Max_Concentration_24H","PM_Min_Concentration_24H","Ambient_Mean","Ambient_Max","Ambient_Min","Category"
105.975343578005,378.736316666667,4.16493888888889,12.1291666666667,15.3,9.1,"3. Hazardous"
46.5195688657407,169.998644444444,3.21927222222222,7.85,11.9,2.9,"3. Hazardous"
0.86543047675,2.97095,0,12.1291666666667,15.3,9.1,"1. EPA Annual Limit (9 µg/m³)"
0.4387403935,4.078438889,0,7.85,11.9,2.9,"1. EPA Annual Limit (9 µg/m³)"
0.377604710798461,1.95436388888889,0.0157527777777778,6.37916666666667,12.1,4.5,"1. EPA Annual Limit (9 µg/m³)"
1.21950069444444,7.38963333333333,0.0626583333333333,7.84583333333333,13.7,4.5,"1. EPA Annual Limit (9 µg/m³)"
2.1142508749684,13.1918388888889,0,4.49583333333333,7.7,2.7,"1. EPA Annual Limit (9 µg/m³)"
17.6522497685185,191.863919444444,0,6.97083333333333,9.3,4.6,"2. EPA Daily Limit (35 µg/m³)"
1.99019532238031,8.42814444444445,0.0770444444444444,4.49583333333333,6.9,2.7,"1. EPA Annual Limit (9 µg/m³)"
2.06259097222222,16.0621444444444,0.23195,6.85416666666667,9.3,4.1,"1. EPA Annual Limit (9 µg/m³)"
6.28851475919913,20.6047388888889,0.388686111111111,24.4791666666667,28.8,20.1,"1. EPA Annual Limit (9 µg/m³)"
11.6506306712963,131.005361111111,0.0238861111111111,14.4791666666667,19.6,7.1,"2. EPA Daily Limit (35 µg/m³)"
8.58097476851852,15.6614,3.40109722222222,24.2833333333333,28.8,19.6,"1. EPA Annual Limit (9 µg/m³)"
3.9694422705314,9.010675,0.845841666666667,14.2565217391304,19.4,7.1,"1. EPA Annual Limit (9 µg/m³)"
0.740530293395805,3.13420481927711,0,9.85,12.1,7.9,"1. EPA Annual Limit (9 µg/m³)"
8.67067777777777,78.5267444444444,0.103072222222222,7.36666666666667,13.3,3.9,"1. EPA Annual Limit (9 µg/m³)"
5.9009284329036,13.3071527777778,0.777072222222222,9.9875,12.1,7.9,"1. EPA Annual Limit (9 µg/m³)"
13.5668792824074,19.9119361111111,10.6713055555556,6.5875,13.3,3,"2. EPA Daily Limit (35 µg/m³)"
2.172061832472,12.2358944444444,0.0228833333333333,9.9875,12.1,4.6,"1. EPA Annual Limit (9 µg/m³)"
1.56849583333333,9.79609722222222,0.0152861111111111,5.2,13.3,2.9,"1. EPA Annual Limit (9 µg/m³)"
4.1030755787037,88.2739694444444,0,6.00416666666667,7.5,4.5,"1. EPA Annual Limit (9 µg/m³)"
11.7202969907407,170.324447222222,0.0151388888888889,7.86666666666667,9.3,6.1,"2. EPA Daily Limit (35 µg/m³)"
49.9822682552304,181.039669444444,0.409377777777778,6.13333333333333,23.6,4.3,"3. Hazardous"
49.2324671296296,267.407872222222,3.040525,5.66666666666667,7.8,3.8,"3. Hazardous"
0.758740700726284,7.27377777777778,0.00755277777777778,5.21666666666667,6.6,3.2,"1. EPA Annual Limit (9 µg/m³)"
5.20406061507936,37.9140333333333,0,6.4,7.7,5,"1. EPA Annual Limit (9 µg/m³)"
4.3906350140193,45.0713611111111,0,9.04166666666667,14.3,5.8,"1. EPA Annual Limit (9 µg/m³)"
3.85648460648149,16.3752805555556,0,11.9208333333333,17.1,6.9,"1. EPA Annual Limit (9 µg/m³)"
5.45327129779942,18.7621166666667,0.00770555555555556,18.5291666666667,22.3,15.7,"1. EPA Annual Limit (9 µg/m³)"
4.86547268518519,18.5364527777778,0.00761111111111111,15.1555555555556,21.3,5.6,"1. EPA Annual Limit (9 µg/m³)"
5.97549300316667,13.65845833,1.17140708,18.7625,22.3,15.7,"1. EPA Annual Limit (9 µg/m³)"
9.24042268555556,49.376325,2.707169444,13.6944444444444,21.3,5.6,"2. EPA Daily Limit (35 µg/m³)"
138.585323558178,847.44385,0.0547527777777778,19.0166666666667,22.3,16.4,"3. Hazardous"
155.150794444444,470.116705555556,1.19985833333333,12.4722222222222,21.3,5.6,"3. Hazardous"
6.1955037665031,23.6543277777778,3.11001944444444,9.20833333333333,11.4,7,"1. EPA Annual Limit (9 µg/m³)"
8.17554548611111,21.3660277777778,1.74045833333333,7.94583333333333,9.4,6.1,"1. EPA Annual Limit (9 µg/m³)"
1.43734371189901,8.70171666666667,0.00725277777777778,9.03333333333333,11.4,6.7,"1. EPA Annual Limit (9 µg/m³)"
3.16849768518518,38.5407972222222,0,8.07083333333333,9.7,6.1,"1. EPA Annual Limit (9 µg/m³)"
1.30709549103625,6.19954444444444,0.238166666666667,8.6375,11.4,6.1,"1. EPA Annual Limit (9 µg/m³)"
0.39512962962963,2.53115,0,8.39583333333333,10.7,6.5,"1. EPA Annual Limit (9 µg/m³)"
14.9583217030614,18.5457111111111,6.93015555555556,15.1666666666667,17.1,13.1,"2. EPA Daily Limit (35 µg/m³)"
10.0953878472222,12.7411472222222,4.22246388888889,8.76666666666667,12.9,5.2,"2. EPA Daily Limit (35 µg/m³)"
40.0190182808301,85.3254361111111,4.59960277777778,14.8,16.9,12.3,"3. Hazardous"
54.6849304398148,714.330036111111,5.97463055555556,8.38333333333333,12.5,5.2,"3. Hazardous"
1.17283891056943,8.76596388888889,0.116288888888889,7.6625,9.7,4.6,"1. EPA Annual Limit (9 µg/m³)"
3.57530821759259,8.125275,0.700730555555556,11.125,14.8,7.9,"1. EPA Annual Limit (9 µg/m³)"
10.75776799178,75.6682638888889,0.928605555555556,7.65,9.7,4.6,"2. EPA Daily Limit (35 µg/m³)"
7.93622291666667,53.7475,0.914269444444444,11.3,14.8,7.9,"1. EPA Annual Limit (9 µg/m³)"
7.19752858577917,11.3986833333333,5.75459444444444,7.61666666666667,9.7,4.6,"1. EPA Annual Limit (9 µg/m³)"
6.15298993055556,29.3183666666667,1.29608055555556,11.5666666666667,14.8,7.9,"1. EPA Annual Limit (9 µg/m³)"
