"Average_Concentration","PM","Category"
9.09515555555556,5.6648,"2. WHO Daily Limit (< 15 µg/m³)"
9.614410041841,13.2480632656323,"2. WHO Daily Limit (< 15 µg/m³)"
18.766375,14.2229584490741,"2. WHO Daily Limit (< 15 µg/m³)"
6.02585355648536,10.8333757268906,"2. WHO Daily Limit (< 15 µg/m³)"
15.1049166666667,25.7497628472222,"3. Hazardous"
7.31960839160839,8.06005150705776,"2. WHO Daily Limit (< 15 µg/m³)"
4.72111388888889,5.772775,"2. WHO Daily Limit (< 15 µg/m³)"
15.4249020172911,14.3704116581279,"2. WHO Daily Limit (< 15 µg/m³)"
11.2849277777778,17.5222944444444,"3. Hazardous"
6.27758947368421,5.84123972344054,"2. WHO Daily Limit (< 15 µg/m³)"
5.49421666666667,4.30173923611111,"1. WHO Annual Limit (< 5 µg/m³)"
19.3544,20.123784837963,"3. Hazardous"
17.8577694444444,18.7525887731481,"3. Hazardous"
115.268131474104,113.071728163273,"3. Hazardous"
5.90701111111111,105.689657638889,"3. Hazardous"
10.9538270893372,7.70011536483349,"2. WHO Daily Limit (< 15 µg/m³)"
6.73347222222222,24.1516560185185,"3. Hazardous"
744.130411371237,153.817059964542,"3. Hazardous"
750.196872222222,316.07821500426,"3. Hazardous"
26.9897428571429,15.3186639384921,"3. Hazardous"
20.4419388888889,9.00891331018519,"2. WHO Daily Limit (< 15 µg/m³)"
